new_year,country_iso3,constant_2022_USD_billions,variable_name,dataset_name,source
2022,SWE,106789718.1078,Ukraine Humanitarian Aid,Kiel Ukraine Tracker,https://www.ifw-kiel.de/publications/ukraine-support-tracker-data-20758/
2022,SWE,533056401.5322,Ukraine Military Aid,Kiel Ukraine Tracker,https://www.ifw-kiel.de/publications/ukraine-support-tracker-data-20758/
2022,TUR,5011681.8969,Ukraine Humanitarian Aid,Kiel Ukraine Tracker,https://www.ifw-kiel.de/publications/ukraine-support-tracker-data-20758/
2022,TUR,67094000.022,Ukraine Military Aid,Kiel Ukraine Tracker,https://www.ifw-kiel.de/publications/ukraine-support-tracker-data-20758/
2022,TWN,68499997.6437,Ukraine Humanitarian Aid,Kiel Ukraine Tracker,https://www.ifw-kiel.de/publications/ukraine-support-tracker-data-20758/
2022,USA,26370000000.0486,Ukraine Financial Aid,Kiel Ukraine Tracker,https://www.ifw-kiel.de/publications/ukraine-support-tracker-data-20758/
2022,USA,2706341522.0709,Ukraine Humanitarian Aid,Kiel Ukraine Tracker,https://www.ifw-kiel.de/publications/ukraine-support-tracker-data-20758/
2022,USA,46325600000.4021,Ukraine Military Aid,Kiel Ukraine Tracker,https://www.ifw-kiel.de/publications/ukraine-support-tracker-data-20758/
2023,AUS,6116538.324384514,Ukraine Humanitarian Aid,Kiel Ukraine Tracker,https://www.ifw-kiel.de/publications/ukraine-support-tracker-data-20758/
2023,AUS,93583036.66836563,Ukraine Military Aid,Kiel Ukraine Tracker,https://www.ifw-kiel.de/publications/ukraine-support-tracker-data-20758/
2023,AUT,31902300.869632985,Ukraine Humanitarian Aid,Kiel Ukraine Tracker,https://www.ifw-kiel.de/publications/ukraine-support-tracker-data-20758/
2023,BEL,9667280.641012449,Ukraine Financial Aid,Kiel Ukraine Tracker,https://www.ifw-kiel.de/publications/ukraine-support-tracker-data-20758/
2023,BEL,41630363.26566519,Ukraine Humanitarian Aid,Kiel Ukraine Tracker,https://www.ifw-kiel.de/publications/ukraine-support-tracker-data-20758/
2023,BEL,161787654.38139793,Ukraine Military Aid,Kiel Ukraine Tracker,https://www.ifw-kiel.de/publications/ukraine-support-tracker-data-20758/
2023,BGR,170956.19085566414,Ukraine Humanitarian Aid,Kiel Ukraine Tracker,https://www.ifw-kiel.de/publications/ukraine-support-tracker-data-20758/
2023,BGR,16253035.186631585,Ukraine Military Aid,Kiel Ukraine Tracker,https://www.ifw-kiel.de/publications/ukraine-support-tracker-data-20758/
2023,CAN,1687343078.4790735,Ukraine Financial Aid,Kiel Ukraine Tracker,https://www.ifw-kiel.de/publications/ukraine-support-tracker-data-20758/
2023,CAN,7733655.5898008635,Ukraine Humanitarian Aid,Kiel Ukraine Tracker,https://www.ifw-kiel.de/publications/ukraine-support-tracker-data-20758/
2023,CAN,1082040342.1040037,Ukraine Military Aid,Kiel Ukraine Tracker,https://www.ifw-kiel.de/publications/ukraine-support-tracker-data-20758/
2023,CHE,7378206.979975142,Ukraine Financial Aid,Kiel Ukraine Tracker,https://www.ifw-kiel.de/publications/ukraine-support-tracker-data-20758/
2023,CHE,1998742917.409636,Ukraine Humanitarian Aid,Kiel Ukraine Tracker,https://www.ifw-kiel.de/publications/ukraine-support-tracker-data-20758/
2023,CHN,203521.69770552524,Ukraine Humanitarian Aid,Kiel Ukraine Tracker,https://www.ifw-kiel.de/publications/ukraine-support-tracker-data-20758/
2023,CYP,0,Ukraine Financial Aid,Kiel Ukraine Tracker,https://www.ifw-kiel.de/publications/ukraine-support-tracker-data-20758/
2023,CYP,0,Ukraine Humanitarian Aid,Kiel Ukraine Tracker,https://www.ifw-kiel.de/publications/ukraine-support-tracker-data-20758/
2023,CYP,0,Ukraine Military Aid,Kiel Ukraine Tracker,https://www.ifw-kiel.de/publications/ukraine-support-tracker-data-20758/
2023,CZE,272184111.01972544,Ukraine Humanitarian Aid,Kiel Ukraine Tracker,https://www.ifw-kiel.de/publications/ukraine-support-tracker-data-20758/
