type_code,freq_code,ref_period_id,ref_year,ref_month,period,reporter_code,reporter_iso,reporter_desc,flow_code,flow_desc,partner_code,partner_iso,partner_desc,partner2code,partner2iso,partner2desc,classification_code,classification_search_code,is_original_classification,cmd_code,cmd_desc,aggr_level,is_leaf,customs_code,customs_desc,mos_code,mot_code,mot_desc,qty_unit_code,qty_unit_abbr,qty,is_qty_estimated,alt_qty_unit_code,alt_qty_unit_abbr,alt_qty,is_alt_qty_estimated,net_wgt,is_net_wgt_estimated,gross_wgt,is_gross_wgt_estimated,cifvalue,fobvalue,primary_value,legacy_estimation_flag,is_reported,is_aggregate,dataset_name,source
C,A,20190101,2019,52,2019,246,FIN,Finland,M,Import,643,RUS,Russian Federation,0,W00,World,H5,HS,True,271111,Liquefied Natural Gas Divestment,6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,91265873.431,True,18,TJ,604.0,False,91265873.431,True,0.0,False,30977686.57,,30977686.57,6,False,True,UN Comtrade,https://comtradeapi.un.org ; HS Code: 271111
C,A,20190101,2019,52,2019,251,FRA,France,M,Import,643,RUS,Russian Federation,0,W00,World,H5,HS,True,271111,Liquefied Natural Gas Divestment,6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,3493282369.876,True,18,TJ,0.0,False,3493282369.876,True,0.0,False,1185698468.531,,1185698468.531,6,False,True,UN Comtrade,https://comtradeapi.un.org ; HS Code: 271111
C,A,20190101,2019,52,2019,826,GBR,United Kingdom,M,Import,643,RUS,Russian Federation,0,W00,World,H5,HS,True,271111,Liquefied Natural Gas Divestment,6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,1190872400.0,False,18,TJ,65408.0,False,1190872400.0,False,0.0,False,332672794.089,,332672794.089,0,False,True,UN Comtrade,https://comtradeapi.un.org ; HS Code: 271111
C,A,20190101,2019,52,2019,300,GRC,Greece,M,Import,643,RUS,Russian Federation,0,W00,World,H5,HS,True,271111,Liquefied Natural Gas Divestment,6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,13230100.0,False,18,TJ,724.0,False,13230100.0,False,0.0,False,4290479.734,,4290479.734,0,False,True,UN Comtrade,https://comtradeapi.un.org ; HS Code: 271111
C,A,20190101,2019,52,2019,440,LTU,Lithuania,M,Import,643,RUS,Russian Federation,0,W00,World,H5,HS,True,271111,Liquefied Natural Gas Divestment,6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,179211420.0,False,18,TJ,9858.52,False,179211420.0,False,0.0,False,39868649.0,,39868649.0,0,True,False,UN Comtrade,https://comtradeapi.un.org ; HS Code: 271111
C,A,20190101,2019,52,2019,620,PRT,Portugal,M,Import,643,RUS,Russian Federation,0,W00,World,H5,HS,True,271111,Liquefied Natural Gas Divestment,6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,70958000.0,False,18,TJ,3901.0,False,70958000.0,False,0.0,False,26452928.513,,26452928.513,0,False,True,UN Comtrade,https://comtradeapi.un.org ; HS Code: 271111
C,A,20190101,2019,52,2019,752,SWE,Sweden,M,Import,643,RUS,Russian Federation,0,W00,World,H5,HS,True,271111,Liquefied Natural Gas Divestment,6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,70908000.0,False,18,TJ,3759.0,False,70908000.0,False,0.0,False,29850242.118,,29850242.118,0,False,True,UN Comtrade,https://comtradeapi.un.org ; HS Code: 271111
C,A,20190101,2019,52,2019,842,USA,USA,M,Import,643,RUS,Russian Federation,0,W00,World,H5,HS,True,271111,Liquefied Natural Gas Divestment,6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,155842834.329,True,-1,,0.0,False,155842834.329,True,0.0,False,52896557.0,51271400.0,52896557.0,6,True,False,UN Comtrade,https://comtradeapi.un.org ; HS Code: 271111
C,A,20200101,2020,52,2020,56,BEL,Belgium,M,Import,643,RUS,Russian Federation,0,W00,World,H5,HS,True,271111,Liquefied Natural Gas Divestment,6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,1351270000.0,False,8,kg,1351270000.0,False,1351270000.0,False,0.0,False,301317979.862,,301317979.862,0,True,False,UN Comtrade,https://comtradeapi.un.org ; HS Code: 271111
C,A,20200101,2020,52,2020,724,ESP,Spain,M,Import,643,RUS,Russian Federation,0,W00,World,H5,HS,True,271111,Liquefied Natural Gas Divestment,6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,2164580000.0,False,18,TJ,118776.0,False,2164580000.0,False,0.0,False,459713679.326,0.0,459713679.326,0,False,True,UN Comtrade,https://comtradeapi.un.org ; HS Code: 271111
