CAEMP25S Total Full-Time and Part-Time Employment by SIC Industry 1/,,,,,,,,,,,,,,
(Number of jobs) ,,,,,,,,,,,,,,
Bureau of Economic Analysis ,,,,,,,,,,,,,,
Metropolitan Statistical Area,,,,,,,,,,,,,,
GeoFips,GeoName,LineCode,Description,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000
13780,"Binghamton, NY (Metropolitan Statistical Area)",920,        Military,845,809,783,732,652,602,579,551,520,505,494
13820,"Birmingham-Hoover, AL (Metropolitan Statistical Area)",,Employment by place of work,,,,,,,,,,,
13820,"Birmingham-Hoover, AL (Metropolitan Statistical Area)",10,Total employment (number of jobs),492088,494712,503007,516698,524531,540012,549878,563132,576169,584344,590606
13820,"Birmingham-Hoover, AL (Metropolitan Statistical Area)",920,        Military,7945,7887,8027,7615,7030,7008,6821,6708,6379,6247,6265
13900,"Bismarck, ND (Metropolitan Statistical Area)",,Employment by place of work,,,,,,,,,,,
13900,"Bismarck, ND (Metropolitan Statistical Area)",10,Total employment (number of jobs),52908,54515,55770,57442,59882,60725,61687,63083,64969,66643,67825
13900,"Bismarck, ND (Metropolitan Statistical Area)",920,        Military,864,823,880,886,796,788,767,762,768,758,787
13980,"Blacksburg-Christiansburg, VA (Metropolitan Statistical Area) *",,Employment by place of work,,,,,,,,,,,
13980,"Blacksburg-Christiansburg, VA (Metropolitan Statistical Area) *",10,Total employment (number of jobs),73301,71029,70976,72196,73606,76033,76685,77680,77742,81341,82109
13980,"Blacksburg-Christiansburg, VA (Metropolitan Statistical Area) *",920,        Military,786,777,749,732,691,649,637,617,618,613,609
14010,"Bloomington, IL (Metropolitan Statistical Area)",,Employment by place of work,,,,,,,,,,,
14010,"Bloomington, IL (Metropolitan Statistical Area)",10,Total employment (number of jobs),79934,81260,83752,84448,88268,90575,92403,96023,100753,106179,108052
14010,"Bloomington, IL (Metropolitan Statistical Area)",920,        Military,461,459,445,426,390,367,356,342,333,334,338
14020,"Bloomington, IN (Metropolitan Statistical Area)",,Employment by place of work,,,,,,,,,,,
14020,"Bloomington, IN (Metropolitan Statistical Area)",10,Total employment (number of jobs),70276,70628,72264,74141,75988,78167,80732,82095,82583,84309,85477
14020,"Bloomington, IN (Metropolitan Statistical Area)",920,        Military,675,664,657,647,607,572,533,516,501,502,518
14100,"Bloomsburg-Berwick, PA (Metropolitan Statistical Area)",,Employment by place of work,,,,,,,,,,,
14100,"Bloomsburg-Berwick, PA (Metropolitan Statistical Area)",10,Total employment (number of jobs),45090,44976,45346,45742,46889,46421,45448,45712,47654,47905,48593
14100,"Bloomsburg-Berwick, PA (Metropolitan Statistical Area)",920,        Military,360,367,369,357,336,312,294,280,274,272,260
14260,"Boise City, ID (Metropolitan Statistical Area)",,Employment by place of work,,,,,,,,,,,
14260,"Boise City, ID (Metropolitan Statistical Area)",10,Total employment (number of jobs),190433,198902,207984,220250,236337,245882,255743,266539,279851,287846,304508
14260,"Boise City, ID (Metropolitan Statistical Area)",920,        Military,2177,2131,2192,2217,2075,2007,1953,2003,2007,1997,1975
14460,"Boston-Cambridge-Newton, MA-NH (Metropolitan Statistical Area)",,Employment by place of work,,,,,,,,,,,
14460,"Boston-Cambridge-Newton, MA-NH (Metropolitan Statistical Area)",10,Total employment (number of jobs),2665144,2541026,2555157,2603207,2655650,2685848,2740663,2813151,2889492,2941149,3027183
14460,"Boston-Cambridge-Newton, MA-NH (Metropolitan Statistical Area)",920,        Military,32603,30270,28502,26579,22720,21584,19463,18220,17425,16887,16734
14500,"Boulder, CO (Metropolitan Statistical Area)",,Employment by place of work,,,,,,,,,,,
14500,"Boulder, CO (Metropolitan Statistical Area)",10,Total employment (number of jobs),160076,164862,169291,178775,186270,192888,198754,207295,213453,221120,237310
14500,"Boulder, CO (Metropolitan Statistical Area)",920,        Military,1000,999,1048,992,979,879,916,920,914,856,921
14540,"Bowling Green, KY (Metropolitan Statistical Area)",,Employment by place of work,,,,,,,,,,,
14540,"Bowling Green, KY (Metropolitan Statistical Area)",10,Total employment (number of jobs),61201,62846,65051,66995,69464,72461,73893,75666,75648,77333,78805
14540,"Bowling Green, KY (Metropolitan Statistical Area)",920,        Military,517,505,519,520,492,476,469,468,457,449,459
14740,"Bremerton-Silverdale-Port Orchard, WA (Metropolitan Statistical Area)",,Employment by place of work,,,,,,,,,,,
14740,"Bremerton-Silverdale-Port Orchard, WA (Metropolitan Statistical Area)",10,Total employment (number of jobs),99487,103816,105396,103073,106538,108268,112627,111977,110034,110431,112566
14740,"Bremerton-Silverdale-Port Orchard, WA (Metropolitan Statistical Area)",920,        Military,15089,17319,16964,14405,14647,16158,18182,16339,13509,13156,12888
14860,"Bridgeport-Stamford-Norwalk, CT (Metropolitan Statistical Area)",,Employment by place of work,,,,,,,,,,,
14860,"Bridgeport-Stamford-Norwalk, CT (Metropolitan Statistical Area)",10,Total employment (number of jobs),521951,503321,501927,512679,508287,518746,528175,537529,551305,563031,577741
14860,"Bridgeport-Stamford-Norwalk, CT (Metropolitan Statistical Area)",920,        Military,2691,2642,2537,2557,2430,2278,2162,2099,2085,2096,2132
15180,"Brownsville-Harlingen, TX (Metropolitan Statistical Area)",,Employment by place of work,,,,,,,,,,,
15180,"Brownsville-Harlingen, TX (Metropolitan Statistical Area)",10,Total employment (number of jobs),98639,101267,104646,109851,115588,117889,121253,124620,127625,132109,139353
15180,"Brownsville-Harlingen, TX (Metropolitan Statistical Area)",920,        Military,1020,1016,1034,999,968,978,950,940,921,939,958
15260,"Brunswick, GA (Metropolitan Statistical Area)",,Employment by place of work,,,,,,,,,,,
15260,"Brunswick, GA (Metropolitan Statistical Area)",10,Total employment (number of jobs),42569,42130,42703,44165,45056,47089,48188,48883,50359,50905,52025
15260,"Brunswick, GA (Metropolitan Statistical Area)",920,        Military,409,404,433,426,401,395,383,381,378,368,333
15380,"Buffalo-Cheektowaga, NY (Metropolitan Statistical Area)",,Employment by place of work,,,,,,,,,,,
15380,"Buffalo-Cheektowaga, NY (Metropolitan Statistical Area)",10,Total employment (number of jobs),630513,622358,619834,620260,633711,626083,626699,631833,627096,638318,646437
15380,"Buffalo-Cheektowaga, NY (Metropolitan Statistical Area)",920,        Military,4186,4028,3922,3753,3381,3190,3017,2871,2730,2677,2604
15500,"Burlington, NC (Metropolitan Statistical Area)",,Employment by place of work,,,,,,,,,,,
15500,"Burlington, NC (Metropolitan Statistical Area)",10,Total employment (number of jobs),68152,66347,67347,68752,69706,71463,73122,74821,78580,80175,81244
15500,"Burlington, NC (Metropolitan Statistical Area)",920,        Military,410,409,427,423,435,392,391,383,379,372,358
15540,"Burlington-South Burlington, VT (Metropolitan Statistical Area)",,Employment by place of work,,,,,,,,,,,
15540,"Burlington-South Burlington, VT (Metropolitan Statistical Area)",10,Total employment (number of jobs),117930,115960,117796,120276,123280,125287,128300,130011,133049,136879,142039
15540,"Burlington-South Burlington, VT (Metropolitan Statistical Area)",920,        Military,1603,1641,1675,1666,1630,1623,1582,1516,1470,1503,1504
15680,"California-Lexington Park, MD (Metropolitan Statistical Area)",,Employment by place of work,,,,,,,,,,,
15680,"California-Lexington Park, MD (Metropolitan Statistical Area)",10,Total employment (number of jobs),35990,36785,36686,35928,36940,38098,40147,44464,47377,48147,49501
15680,"California-Lexington Park, MD (Metropolitan Statistical Area)",920,        Military,4192,4180,3995,3401,3136,3054,2884,3181,3312,3161,3080
15940,"Canton-Massillon, OH (Metropolitan Statistical Area)",,Employment by place of work,,,,,,,,,,,
15940,"Canton-Massillon, OH (Metropolitan Statistical Area)",10,Total employment (number of jobs),201081,200722,199451,202448,207012,212418,215591,218984,224798,226886,232230
15940,"Canton-Massillon, OH (Metropolitan Statistical Area)",920,        Military,1436,1424,1400,1279,1185,1147,1089,1080,1040,1031,1056
15980,"Cape Coral-Fort Myers, FL (Metropolitan Statistical Area)",,Employment by place of work,,,,,,,,,,,
15980,"Cape Coral-Fort Myers, FL (Metropolitan Statistical Area)",10,Total employment (number of jobs),164024,163361,162757,170194,178317,186043,191718,196507,205733,211109,219932
15980,"Cape Coral-Fort Myers, FL (Metropolitan Statistical Area)",920,        Military,1030,1040,1040,1001,958,966,968,972,974,959,996
16020,"Cape Girardeau, MO-IL (Metropolitan Statistical Area)",,Employment by place of work,,,,,,,,,,,
16020,"Cape Girardeau, MO-IL (Metropolitan Statistical Area)",10,Total employment (number of jobs),49146,48247,49450,50713,52387,54098,54280,54484,56838,58769,59512
