Payment group,Description,"Clinical, Functional, and Service Levels",2014 Final HH PPS Case-Mix Weights
30212,"3rd+ Episodes, 6 Therapy Visits",C2F1S2,0.712344028520499
30213,"3rd+ Episodes, 7 to 9 Therapy Visits",C2F1S3,0.8778966131907308
30214,"3rd+ Episodes, 10 Therapy Visits",C2F1S4,1.0434491978609626
30215,"3rd+ Episodes, 11 to 13 Therapy Visits",C2F1S5,1.2090017825311943
30221,"3rd+ Episodes, 0 to 5 Therapy Visits",C2F2S1,0.6752079619726679
30222,"3rd+ Episodes, 6 Therapy Visits",C2F2S2,0.8270944741532976
30223,"3rd+ Episodes, 7 to 9 Therapy Visits",C2F2S3,0.9789067142008319
30224,"3rd+ Episodes, 10 Therapy Visits",C2F2S4,1.1307932263814615
30225,"3rd+ Episodes, 11 to 13 Therapy Visits",C2F2S5,1.2826054664289959
30231,"3rd+ Episodes, 0 to 5 Therapy Visits",C2F3S1,0.7443553178847296
30232,"3rd+ Episodes, 6 Therapy Visits",C2F3S2,0.9064171122994652
30233,"3rd+ Episodes, 7 to 9 Therapy Visits",C2F3S3,1.0684789067142009
30234,"3rd+ Episodes, 10 Therapy Visits",C2F3S4,1.2305407011289364
30235,"3rd+ Episodes, 11 to 13 Therapy Visits",C2F3S5,1.3926767676767677
30311,"3rd+ Episodes, 0 to 5 Therapy Visits",C3F1S1,0.6925133689839572
30312,"3rd+ Episodes, 6 Therapy Visits",C3F1S2,0.8622251931075461
30313,"3rd+ Episodes, 7 to 9 Therapy Visits",C3F1S3,1.031862745098039
30314,"3rd+ Episodes, 10 Therapy Visits",C3F1S4,1.201574569221628
30315,"3rd+ Episodes, 11 to 13 Therapy Visits",C3F1S5,1.3712863933452168
30321,"3rd+ Episodes, 0 to 5 Therapy Visits",C3F2S1,0.8210041592394532
30322,"3rd+ Episodes, 6 Therapy Visits",C3F2S2,0.9769756387403445
30323,"3rd+ Episodes, 7 to 9 Therapy Visits",C3F2S3,1.1329471182412358
30324,"3rd+ Episodes, 10 Therapy Visits",C3F2S4,1.2888443256090314
30325,"3rd+ Episodes, 11 to 13 Therapy Visits",C3F2S5,1.4448158051099227
30331,"3rd+ Episodes, 0 to 5 Therapy Visits",C3F3S1,0.890151515151515
30332,"3rd+ Episodes, 6 Therapy Visits",C3F3S2,1.0562982768865121
30333,"3rd+ Episodes, 7 to 9 Therapy Visits",C3F3S3,1.2225193107546048
30334,"3rd+ Episodes, 10 Therapy Visits",C3F3S4,1.3886660724896018
