type_code,freq_code,ref_period_id,ref_year,ref_month,period,reporter_code,reporter_iso,reporter_desc,flow_code,flow_desc,partner_code,partner_iso,partner_desc,partner2code,partner2iso,partner2desc,classification_code,classification_search_code,is_original_classification,cmd_code,cmd_desc,aggr_level,is_leaf,customs_code,customs_desc,mos_code,mot_code,mot_desc,qty_unit_code,qty_unit_abbr,qty,is_qty_estimated,alt_qty_unit_code,alt_qty_unit_abbr,alt_qty,is_alt_qty_estimated,net_wgt,is_net_wgt_estimated,gross_wgt,is_gross_wgt_estimated,cifvalue,fobvalue,primary_value,legacy_estimation_flag,is_reported,is_aggregate,dataset_name,source
C,A,20190101,2019,52,2019,233,EST,Estonia,M,Import,643,RUS,Russian Federation,0,W00,World,H5,HS,TRUE,271111,Liquefied Natural Gas Divestment,6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,9903740,FALSE,18,TJ,659.9,FALSE,9903740,FALSE,0,FALSE,3128793.586,0,3128793.586,0,FALSE,TRUE,UN Comtrade,https://comtradeapi.un.org ; HS Code: 271111
C,A,20190101,2019,52,2019,246,FIN,Finland,M,Import,643,RUS,Russian Federation,0,W00,World,H5,HS,TRUE,271111,Liquefied Natural Gas Divestment,6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,91265873.43,TRUE,18,TJ,604,FALSE,91265873.43,TRUE,0,FALSE,30977686.57,,30977686.57,6,FALSE,TRUE,UN Comtrade,https://comtradeapi.un.org ; HS Code: 271111
C,A,20190101,2019,52,2019,251,FRA,France,M,Import,643,RUS,Russian Federation,0,W00,World,H5,HS,TRUE,271111,Liquefied Natural Gas Divestment,6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,3493282370,TRUE,18,TJ,0,FALSE,3493282370,TRUE,0,FALSE,1185698469,,1185698469,6,FALSE,TRUE,UN Comtrade,https://comtradeapi.un.org ; HS Code: 271111
C,A,20190101,2019,52,2019,826,GBR,United Kingdom,M,Import,643,RUS,Russian Federation,0,W00,World,H5,HS,TRUE,271111,Liquefied Natural Gas Divestment,6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,1190872400,FALSE,18,TJ,65408,FALSE,1190872400,FALSE,0,FALSE,332672794.1,,332672794.1,0,FALSE,TRUE,UN Comtrade,https://comtradeapi.un.org ; HS Code: 271111
C,A,20190101,2019,52,2019,300,GRC,Greece,M,Import,643,RUS,Russian Federation,0,W00,World,H5,HS,TRUE,271111,Liquefied Natural Gas Divestment,6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,13230100,FALSE,18,TJ,724,FALSE,13230100,FALSE,0,FALSE,4290479.734,,4290479.734,0,FALSE,TRUE,UN Comtrade,https://comtradeapi.un.org ; HS Code: 271111
C,A,20190101,2019,52,2019,440,LTU,Lithuania,M,Import,643,RUS,Russian Federation,0,W00,World,H5,HS,TRUE,271111,Liquefied Natural Gas Divestment,6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,179211420,FALSE,18,TJ,9858.52,FALSE,179211420,FALSE,0,FALSE,39868649,,39868649,0,TRUE,FALSE,UN Comtrade,https://comtradeapi.un.org ; HS Code: 271111
C,A,20190101,2019,52,2019,620,PRT,Portugal,M,Import,643,RUS,Russian Federation,0,W00,World,H5,HS,TRUE,271111,Liquefied Natural Gas Divestment,6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,70958000,FALSE,18,TJ,3901,FALSE,70958000,FALSE,0,FALSE,26452928.51,,26452928.51,0,FALSE,TRUE,UN Comtrade,https://comtradeapi.un.org ; HS Code: 271111
C,A,20190101,2019,52,2019,752,SWE,Sweden,M,Import,643,RUS,Russian Federation,0,W00,World,H5,HS,TRUE,271111,Liquefied Natural Gas Divestment,6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,70908000,FALSE,18,TJ,3759,FALSE,70908000,FALSE,0,FALSE,29850242.12,,29850242.12,0,FALSE,TRUE,UN Comtrade,https://comtradeapi.un.org ; HS Code: 271111
C,A,20190101,2019,52,2019,842,USA,USA,M,Import,643,RUS,Russian Federation,0,W00,World,H5,HS,TRUE,271111,Liquefied Natural Gas Divestment,6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,155842834.3,TRUE,-1,,0,FALSE,155842834.3,TRUE,0,FALSE,52896557,51271400,52896557,6,TRUE,FALSE,UN Comtrade,https://comtradeapi.un.org ; HS Code: 271111
C,A,20200101,2020,52,2020,56,BEL,Belgium,M,Import,643,RUS,Russian Federation,0,W00,World,H5,HS,TRUE,271111,Liquefied Natural Gas Divestment,6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,1351270000,FALSE,8,kg,1351270000,FALSE,1351270000,FALSE,0,FALSE,301317979.9,,301317979.9,0,TRUE,FALSE,UN Comtrade,https://comtradeapi.un.org ; HS Code: 271111
C,A,20200101,2020,52,2020,724,ESP,Spain,M,Import,643,RUS,Russian Federation,0,W00,World,H5,HS,TRUE,271111,Liquefied Natural Gas Divestment,6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,2164580000,FALSE,18,TJ,118776,FALSE,2164580000,FALSE,0,FALSE,459713679.3,0,459713679.3,0,FALSE,TRUE,UN Comtrade,https://comtradeapi.un.org ; HS Code: 271111
C,A,20200101,2020,52,2020,233,EST,Estonia,M,Import,643,RUS,Russian Federation,0,W00,World,H5,HS,TRUE,271111,Liquefied Natural Gas Divestment,6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,10553400,FALSE,18,TJ,609.608,FALSE,10553400,FALSE,0,FALSE,2225859.3,,2225859.3,0,FALSE,TRUE,UN Comtrade,https://comtradeapi.un.org ; HS Code: 271111
C,A,20200101,2020,52,2020,246,FIN,Finland,M,Import,643,RUS,Russian Federation,0,W00,World,H5,HS,TRUE,271111,Liquefied Natural Gas Divestment,6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,137183730,FALSE,18,TJ,6738,FALSE,137183730,FALSE,0,FALSE,43902324.95,0,43902324.95,0,FALSE,TRUE,UN Comtrade,https://comtradeapi.un.org ; HS Code: 271111
C,A,20200101,2020,52,2020,251,FRA,France,M,Import,643,RUS,Russian Federation,0,W00,World,H5,HS,TRUE,271111,Liquefied Natural Gas Divestment,6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,2226614047,TRUE,18,TJ,0,FALSE,2226614047,TRUE,0,FALSE,611261172.7,,611261172.7,6,TRUE,FALSE,UN Comtrade,https://comtradeapi.un.org ; HS Code: 271111
C,A,20200101,2020,52,2020,826,GBR,United Kingdom,M,Import,643,RUS,Russian Federation,0,W00,World,H5,HS,TRUE,271111,Liquefied Natural Gas Divestment,6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,2380530000,FALSE,18,TJ,130588,FALSE,2380530000,FALSE,0,FALSE,540559046.3,0,540559046.3,0,FALSE,TRUE,UN Comtrade,https://comtradeapi.un.org ; HS Code: 271111
C,A,20200101,2020,52,2020,300,GRC,Greece,M,Import,643,RUS,Russian Federation,0,W00,World,H5,HS,TRUE,271111,Liquefied Natural Gas Divestment,6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,68900900,FALSE,18,TJ,3772,FALSE,68900900,FALSE,0,FALSE,12917161.95,0,12917161.95,0,FALSE,TRUE,UN Comtrade,https://comtradeapi.un.org ; HS Code: 271111
C,A,20200101,2020,52,2020,440,LTU,Lithuania,M,Import,643,RUS,Russian Federation,0,W00,World,H5,HS,TRUE,271111,Liquefied Natural Gas Divestment,6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,219388500,FALSE,18,TJ,12105.54,FALSE,219388500,FALSE,0,FALSE,35164762,,35164762,0,TRUE,FALSE,UN Comtrade,https://comtradeapi.un.org ; HS Code: 271111
C,A,20200101,2020,52,2020,579,NOR,Norway,M,Import,643,RUS,Russian Federation,0,W00,World,H5,HS,TRUE,271111,Liquefied Natural Gas Divestment,6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,8855030,FALSE,8,kg,8855030,FALSE,8855030,FALSE,0,FALSE,2871186.939,0,2871186.939,0,FALSE,TRUE,UN Comtrade,https://comtradeapi.un.org ; HS Code: 271111
C,A,20200101,2020,52,2020,620,PRT,Portugal,M,Import,643,RUS,Russian Federation,0,W00,World,H5,HS,TRUE,271111,Liquefied Natural Gas Divestment,6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,418406200,FALSE,18,TJ,23057,FALSE,418406200,FALSE,0,FALSE,97095671.93,,97095671.93,0,FALSE,TRUE,UN Comtrade,https://comtradeapi.un.org ; HS Code: 271111
C,A,20200101,2020,52,2020,752,SWE,Sweden,M,Import,643,RUS,Russian Federation,0,W00,World,H5,HS,TRUE,271111,Liquefied Natural Gas Divestment,6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,132943000,FALSE,18,TJ,6709,FALSE,132943000,FALSE,0,FALSE,38957654.09,0,38957654.09,0,FALSE,TRUE,UN Comtrade,https://comtradeapi.un.org ; HS Code: 271111
C,A,20210101,2021,52,2021,56,BEL,Belgium,M,Import,643,RUS,Russian Federation,0,W00,World,H5,HS,TRUE,270112,"Coal; bituminous, whether or not pulverised, but not agglomerated",6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,981032520,FALSE,8,kg,981032520,FALSE,981032520,FALSE,0,FALSE,128804865.1,,128804865.1,0,TRUE,FALSE,UN Comtrade,"https://comtradeapi.un.org , HS Codes: 270900,271000, 270112"
C,A,20210101,2021,52,2021,56,BEL,Belgium,M,Import,643,RUS,Russian Federation,0,W00,World,H5,HS,TRUE,271111,Liquefied Natural Gas Divestment,6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,867400000,FALSE,8,kg,867400000,FALSE,867400000,FALSE,0,FALSE,299625185.9,,299625185.9,0,TRUE,FALSE,UN Comtrade,https://comtradeapi.un.org ; HS Code: 271111
C,A,20210101,2021,52,2021,56,BEL,Belgium,M,Import,643,RUS,Russian Federation,0,W00,World,H5,HS,TRUE,270900,"Oils; petroleum oils and oils obtained from bituminous minerals, crude",6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,5733090,FALSE,8,kg,5733090,FALSE,5733090,FALSE,0,FALSE,3746615.031,,3746615.031,0,TRUE,FALSE,UN Comtrade,"https://comtradeapi.un.org , HS Codes: 270900,271000, 270112"
C,A,20210101,2021,52,2021,100,BGR,Bulgaria,M,Import,643,RUS,Russian Federation,0,W00,World,H5,HS,TRUE,270112,"Coal; bituminous, whether or not pulverised, but not agglomerated",6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,304903424,FALSE,8,kg,304903424,FALSE,304903424,FALSE,0,FALSE,28784244.76,0,28784244.76,0,FALSE,TRUE,UN Comtrade,"https://comtradeapi.un.org , HS Codes: 270900,271000, 270112"
C,A,20210101,2021,52,2021,100,BGR,Bulgaria,M,Import,643,RUS,Russian Federation,0,W00,World,H5,HS,TRUE,270900,"Oils; petroleum oils and oils obtained from bituminous minerals, crude",6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,2546529200,FALSE,8,kg,2546529200,FALSE,2546529200,FALSE,0,FALSE,1239636782,0,1239636782,0,FALSE,TRUE,UN Comtrade,"https://comtradeapi.un.org , HS Codes: 270900,271000, 270112"
C,A,20210101,2021,52,2021,203,CZE,Czechia,M,Import,643,RUS,Russian Federation,0,W00,World,H5,HS,TRUE,270112,"Coal; bituminous, whether or not pulverised, but not agglomerated",6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,22008250,FALSE,8,kg,22008250,FALSE,22008250,FALSE,0,FALSE,1791412,1653474,1791412,0,FALSE,TRUE,UN Comtrade,"https://comtradeapi.un.org , HS Codes: 270900,271000, 270112"
C,A,20210101,2021,52,2021,203,CZE,Czechia,M,Import,643,RUS,Russian Federation,0,W00,World,H5,HS,TRUE,270900,"Oils; petroleum oils and oils obtained from bituminous minerals, crude",6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,3417360000,FALSE,8,kg,3417360000,FALSE,3417360000,FALSE,0,FALSE,1745478093,1745478093,1745478093,0,FALSE,TRUE,UN Comtrade,"https://comtradeapi.un.org , HS Codes: 270900,271000, 270112"
